,UNIQUE-ID,COMMON-NAME,ENZYME,REACTION,ALTERNATIVE-SUBSTRATES
73,ENZRXN-20789,&beta;-cyano-<i>L</i>-alanine nitrilase,MONOMER-17621,['3.5.5.4-RXN'],N/A
74,ENZRXN-11887,guanidinobutyramidase,MONOMER-11565,['GUANIDINOBUTANAMIDE-NH3-RXN'],N/A
75,ENZRXN-1862,phenylpyruvate decarboxylase,PPDTHAUERA-MONOMER,['PHENYLPYRUVATE-DECARBOXYLASE-RXN'],N/A
76,ENZRXN-701,F<SUB>420</SUB>-dependent methylene-H<SUB>4</SUB>MPT reductase,CPLX-641,['METHELENE-THMPT-OXI-RXN'],N/A
77,ENZRXN-12807,"amorpha-4,11-diene synthase",MONOMER-12183,['RXN-8046'],N/A
78,ENZRXN-20944,nicotine dehydrogenase,MONOMER-17709,['NICOTINE-DEHYDROGENASE-RXN'],N/A
79,ENZRXNQT-10445,ornithine-&delta;-aminotransferase,AT5G46180-MONOMER,['ORNITHINE-GLU-AMINOTRANSFERASE-RXN'],N/A
80,ENZRXN-18765,(<i>S</i>)-malyl-CoA lyase,MONOMER-16252,['MALYL-COA-LYASE-RXN'],N/A
81,ENZRXN18C3-37,&beta;1-tomatine glucosidase,MONOMER18C3-27,['RXN18C3-17'],N/A
82,ENZRXN-12949,UDP-D-glucose:cyanidin-3-<i>O</i>-&beta;-D-glucoside 5-O-glucosyltransferase,MONOMER-12012,['RXN-8169'],N/A
83,ENZRXN-23247,"20,21-diprenylterpendole I monooxygenase",MONOMER-18982,['RXN-15960'],N/A
84,ENZRXN1G-1131,6-O-mycolyl-&beta;-D-mannopyranosyl-1-phosphoheptaprenol:trehalose 6-phosphate mycolyltransferase,G185E-5399-MONOMER,['RXN1G-807'],N/A
85,ENZRXN-21202,trans-cinnamate:CoA ligase,MONOMER-17854,['RXN-2001'],N/A
86,ENZRXN-23380,lysophospholipid auricoloyltransferase,MONOMER-19024,['RXN-16157'],N/A
87,ENZRXN-14729,7- O -&beta;-D-apiofuransyl-(1-6)-&beta;-D-glucopyranosidase,CPLX-8513,['RXN-9163'],N/A
88,ENZRXN-21364,5-fluorocytosine deaminase,YPR062W-MONOMER,['RXN-14129'],N/A
89,ENZRXN-17508,benzoic acid 2-hydroxylase,MONOMER-2343,['RXN-11271'],N/A
90,ENZRXN-14890,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",CPLX-7600,['DHBDEHYD-RXN'],N/A
91,GTPPYPHOSKIN-ENZRXN,GTP pyrophosphokinase,RELA-MONOMER,['GTPPYPHOSKIN-RXN'],N/A
92,ENZRXN-17666,diaminobutyrate--2-oxoglutarate transaminase,MONOMER-15538,['R101-RXN'],N/A
93,ENZRXN-25603,3-dehydro-L-threonate 4-kinase,CPLX-9213,['RXN-18594'],N/A
94,NITRATREDUCTA-ENZRXN,menaquinol:nitrate oxidoreductase,NITRATREDUCTA-CPLX,['RXN0-3501'],['(NITRATE CHLORATE)']
95,ENZRXN-23624,perthiol:[Rhd] sulfurtransferase,MONOMER-19177,['RXN-11941'],N/A
96,ENZRXN3O-11416,ADP reductase,CPLX3O-10515,['ADPREDUCT-RXN'],N/A
97,ENZRXN-12154,UDP-&alpha;-D-glucose:glycogenin &alpha;-D-glucosyltransferase,CPLX-6978,['GLYCOGENIN-GLUCOSYLTRANSFERASE-RXN'],N/A
98,ENZRXN-25736,&alpha;-maltose-1-phosphate synthase,G185E-5382-MONOMER,['RXN-18305'],['(ADP-D-GLUCOSE CPD-12575)']
99,ENZRXN-15186,palmitate:CoA ligase (AMP-forming),HS07766-MONOMER,['RXN-9623'],N/A
100,ENZRXN-23757,"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-glucuronate glycosyltransferase",MONOMER-19264,['RXN-16570'],N/A
101,ENZRXN-1793,phospholipase D,AT3G16785-CPLX,['PHOSCHOL-RXN'],N/A
102,ENZRXN-12336,L-tryptophan:2-oxoglutarate aminotransferase,CPLX-9342,['TRYPTOPHAN-AMINOTRANSFERASE-RXN'],N/A
103,ENZRXN-8627,S-adenosyl-L-methionine: coclaurine N-methyltransferase,CPLX-5006,['2.1.1.140-RXN'],"['(S-COCLAURINE ""(R,S)-norlaudanosoline"")', '(S-COCLAURINE ""(R,S)-norreticuline"")', '(S-COCLAURINE R-COCLAURINE)']"
104,ENZRXN-15362,UDP-galactose:MGDG galactosyltransferase,AT3G11670-MONOMER,['RXN-1225'],N/A
105,ENZRXN-25997,lycopene &beta;-cyclase,CPLX-9263,['RXN1F-150'],N/A
106,ENZRXN-18068,chondroitin sulfate hydrolase,HS03763-MONOMER,['RXN-11620'],N/A
107,ENZRXN-19037,farnesol kinase,AT5G58560-MONOMER,['RXN-12304'],N/A
108,ENZRXN-9421,mannitol dehydrogenase,MONOMER-9261,['1.1.1.255-RXN'],"['(CPD-15373 CPD-227)', '(CPD-15373 CPD-6001)', '(MANNITOL RIBITOL)', '(MANNITOL CPD-355)', '(MANNITOL GALACTITOL)', '(MANNITOL SORBITOL)']"
109,ENZRXN-13215,1-18:2-2-16:0-digalactosyldiacylglycerol desaturase,CPLX-1905,['RXN-8317'],N/A
110,ENZRXN-26130,adenosylcobinamide-GDP adenine ribotide phosphate transferase,MONOMER-13212,['RXN-19308'],N/A
111,ENZRXN3DJ-35468,gulonolactone (L-) oxidase,MGI:1353434-MONOMER,['L-GULONOLACTONE-OXIDASE-RXN'],N/A
112,ENZRXN-19184,&beta;-galactosidase,MONOMER-16612,['3.2.1.23-RXN'],N/A
113,ENZRXN0-2467,23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase,EG11118-MONOMER,['RXN-11838'],N/A
114,ENZRXN-13358,quinolinate phosphoribosyltransferase (decarboxylating),MONOMER-12622,['QUINOPRIBOTRANS-RXN'],N/A
115,ENZRXN-21642,glutamate&mdash;cysteine ligase,MONOMER-17988,['GLUTCYSLIG-RXN'],N/A
116,ENZRXN0-4,L-cysteine exporter,ABC-6-CPLX,['RXN0-3'],N/A
117,ENZRXN-19450,9-<i>cis</i> retinol dehydrogenase,CPLX-8338,['RXN-12562'],N/A
118,ENZRXN-21785,7-(3-amino-3-methylcarboxypropyl)-wyosine carboxycarbonylase,YOL141W-MONOMER,['RXN-14520'],N/A
119,TRANS-ENZRXN-215,L-glutamate:4-aminobutyrate antiporter,XASA-MONOMER,['TRANS-RXN-261'],N/A
120,ENZRXN-19633,7<sup>1</sup>-hydroxychlorophyll <i>a</i> reductase,AT1G04620-MONOMER,['RXN-7679'],['(CPD-7016 CPD-7015)']
121,ENZRXN3O-88,HMP kinase,CPLX3O-10524,['OHMETPYRKIN-RXN'],N/A
122,ENZRXN66-1287,inosine-5'-monophosphate dehydrogenase,CPLX-8099,['IMP-DEHYDROG-RXN'],N/A
123,ENZRXN-23996,stipitaldehyde monooxygenase,MONOMER-19389,['RXN-16828'],N/A
124,ENZRXN-24129,sch210971/2 synthetase,MONOMER-19463,['RXN-16962'],N/A
125,ENZRXN-22034,<i>trans</i>--2-enoyl-CoA hydratase 2,CPLX-8704,['RXN-14801'],N/A
126,ENZRXN-22176,lycopene &beta;-cyclase,MONOMER-18250,['RXN1F-150'],N/A
127,CDPKIN-ENZRXN,CDP kinase,NUCLEOSIDE-DIP-KIN-CPLX,['CDPKIN-RXN'],N/A
128,ENZRXN-1021,trithionate hydrolase,TRITHIOHYDRO-MONOMER,['3.12.1.1-RXN'],N/A
129,ENZRXN-15651,"(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)",CPLX-7701,['1.3.1.25-RXN'],N/A
130,ENZRXN-15795,ferredoxin-thioredoxin reductase,CPLX-7718,['RXN-9944'],N/A
131,ENZRXN-13444,ornithine carbamoyltransferase,AT1G75330-MONOMER,['ORNCARBAMTRANSFER-RXN'],N/A
132,ENZRXN-13587,&gamma;-bisabolene synthase,AG5-MONOMER,['RXN-8549'],N/A
133,ENZRXN-18322,GDP-mannose:cellobiosyl-diphosphopolyprenol &alpha;-mannosyltransferase,MONOMER-15989,['RXN-11788'],N/A
134,ENZRXN-18483,isoleucine <i>N</i>-monooxygenase,MONOMER-6682,['1.14.13.117-RXN'],N/A
135,ENZRXN-16120,&gamma;-pentachlorocyclohexene dehydrochlorinase,LINAPSEPA-MONOMER,['LINA2-RXN'],N/A
136,ENZRXN-16358,4-hydroxybenzoyl-CoA thioesterase,CPLX-7826,['3.1.2.23-RXN'],"['(CPD-201 BENZOYLCOA)', '(CPD-201 CPD-1776)']"
137,ENZRXN-26371,glutathione <i>S</i>-conjugate carboxypeptidase,YMR297W-MONOMER,['RXN-12532'],N/A
138,ENZRXN66-2202,octanal dehydrogenase,HS01061-MONOMER,['R222-RXN'],N/A
139,ENZRXN-24375,C33-phthiotriol methyltransferase,G185E-7206-MONOMER,['RXN-17228'],N/A
140,ENZRXN-26501,&beta;-amyrin 30-monooxygenase,MONOMER-20540,['RXN-19714'],N/A
141,ENZRXN0-6312,Ap<sub>4</sub>A synthetase,LYSU-CPLX,['RXN0-5208'],N/A
142,ENZRXN-24513,validamycin A dioxygenase,MONOMER-19692,['RXN-17381'],N/A
143,ENZRXN-26746,"4,4-dimethyl-5&alpha;-cholest-7-en-3&beta;-ol 4&beta;-monooxygenase",MONOMER-20665,['RXN-20099'],N/A
144,ENZRXN0-6539,NAD(P)H:quinone oxidoreductase,G7868-MONOMER,['RXN0-5387'],N/A
145,ENZRXN-19917,"dTDP-glucose 4,6-dehydratase",MONOMER-17071,['DTDPGLUCDEHYDRAT-RXN'],N/A
146,ENZRXN-3107,benzyl alcohol dehydrogenase,CPLX-2542,['BENZYL-ALC-DEHYDROGENASE-RXN'],N/A
147,ENZRXN66-19653,serine palmitoyltransferase,CPLX66-304,['SERINE-C-PALMITOYLTRANSFERASE-RXN'],N/A
148,ENZRXN-20067,furfural reductase,MONOMER-17184,['RXN-13099'],N/A
149,ENZRXN0-7529,oxaloacetate <i>keto-enol</i>-isomerase,FUMARASE-A,['OXALOACETATE-TAUTOMERASE-RXN'],N/A
150,ENZRXN0-7693,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",CPLX0-8128,['RXN-9311'],"['(CPD-9925 CPD-201)', '(CPD-9925 BENZOYLCOA)', '(DIHYDROXYNAPHTHOATE CPD0-2531)']"
151,ENZRXN-22432,glutamate:phenylalanine aminotransferase,MONOMER-18428,['RXN-10814'],N/A
152,ENZRXN-22581,"cyanidin 3-<i>O</i>-[2""-<i>O</i>-(2""'-<i>O</i>-(sinapoyl) xylosyl) 6""-<i>O</i>-(p-coumaroyl) glucoside] 5-<i>O</i>-[6""""-<i>O</i>-(malonyl) glucoside] sinapoyltransferase",AT2G23000-MONOMER,['RXN-15332'],N/A
153,ENZRXN-20330,a [protein]-<i>O</i>-disaccharide-L-serine synthase,MONOMER-17342,['RXN-13318'],N/A
154,ENZRXN-20464,daphnetin 7-O-glucosyltransferase,MONOMER-17431,['2.4.1.104-RXN'],N/A
155,ENZRXN-13852,aqualysin I,MONOMER-12998,['RXN-8708'],N/A
156,ENZRXN-13997,"3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase",MONOMER-13152,['4.1.1.51-RXN'],N/A
157,ENZRXN-16650,renierapurpurin hydroxylase,MONOMER-14928,['RXN-10650'],N/A
158,ENZRXN-16806,octoketide synthase,MONOMER-15018,['RXN-10734'],N/A
159,ENZRXN66-4536,2-5A-dependent ribonuclease,HS06069-MONOMER,['3.1.27.5-RXN'],N/A
160,ENZRXN66-6038,ADP phosphohydrolase,CPLX-8608,['RXN-10862'],N/A
161,ENZRXN-24762,L-arginine-<i>N</i>-1-hydroxypropan-2-one deglycase,ENSG00000116288-MONOMER,['RXN-17630'],N/A
162,ENZRXN-24934,N-terminal methionine <i>N</i><sub>&alpha;</sub>-acetyltransferase,CPLX-9128,['RXN-17854'],N/A
163,ENZRXN-22832,(S)-nandinine synthase,MONOMER-13846,['RXN-15538'],N/A
164,ENZRXN-22974,lovastatin nonaketide synthase,CPLX-8893,['2.3.1.161-RXN'],N/A
165,ENZRXN-14242,phosphomannose mutase,MONOMER-13382,['PHOSMANMUT-RXN'],N/A
166,ENZRXN-14407,vanillin aminotransferase,MONOMER-13529,['RXN-8925'],N/A
167,ENZRXN-17062,protein-tyrosine-phosphatase,HS10404-MONOMER,['PROTEIN-TYROSINE-PHOSPHATASE-RXN'],N/A
168,ENZRXN-17207,"dihydroxyphenyl-5-methyloxazoline-norspermidine-2,3-dihydroxybenzoate",CPLX-7943,['RXN-10992'],N/A
169,ENZRXN-4310,L-serine:glyoxylate aminotransferase,CPLX-3521,['SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN'],N/A
170,ENZRXNQT-26136,oxalyl-CoA decarboxylase,AT5G17380-MONOMER,['OXALYL-COA-DECARBOXYLASE-RXN'],N/A
171,ENZRXN-25180,transport of chitodextrins,MONOMER-20046,['TRANS-RXN-323'],N/A
172,ENZRXN-5288,dichloroethene-reductive dehalogenase,MONOMER-5146,['TCEREDCHLOR-RXN'],N/A
173,ENZRXN0-8085,Li<sup>+</sup>:H<sup>+</sup> antiporter,CPLX0-7629,['TRANS-RXN-292'],N/A
174,ENZRXN-25320,"type 3 precursor disaccharide &alpha;-(1,2)-fucosyltransferase",MONOMER-20078,['RXN-14562'],N/A
175,ENZRXN-6419,UDP-glucose:trans-zeatin O-&beta;-D-glucosyltransferase,AT2G36750-MONOMER,['RXN-4723'],N/A
176,ENZRXN-11871,ornithine aminotransferase,YLR438W-MONOMER,['ORNITHINE-GLU-AMINOTRANSFERASE-RXN'],N/A
177,ENZRXN-20770,aryl alcohol oxidase,MONOMER-17609,['ARYL-ALCOHOL-OXIDASE-RXN'],N/A
178,ENZRXN0-8299,glycerone phosphate phosphatase,ALKAPHOSPHA-CPLX,['RXN0-7249'],N/A
179,ENZRXN-12786,UDP-glucose: 4-methylthiobutylhydroximate S-glucosyltransferase,AT1G24100-MONOMER,['RXN-2208'],N/A
180,ENZRXN-6985,2-hydroxydaidzein reductase,MONOMER-6703,['RXN-4502'],N/A
181,ENZRXNIO2-3212,phosphate acetyltransferase,GIO2-991-MONOMER,['PHOSACETYLTRANS-RXN'],N/A
182,ENZRXN-20926,phytosphingosine 1-phosphate aldolase,YDR294C-MONOMER,['RXN-13729'],N/A
183,ENZRXN18C3-278,sucrose-2-(2-methyl)butyryl-4-(2-methyl)butyryl-3-(4-methyl)pentanoyl-6-isobutyryltransferase,MONOMER18C3-143,['RXN18C3-109'],N/A
184,ENZRXN-18747,L-rhamnono-&gamma;-lactonase,MONOMER-16238,['L-RHAMNONO-14-LACTONASE-RXN'],N/A
185,ENZRXN-23225,<i>L</i>-ornithine 5-monooxygenase,MONOMER-18961,['RXN-11128'],N/A
186,ENZRXN-12932,abscisic acid 8'-hydroxylase,AT2G29090-MONOMER,['1.14.13.93-RXN'],N/A
187,ENZRXN-21183,pheophorbide demethoxycarbonylase,CPLX-8597,['RXN-13940'],N/A
188,ENZRXN1F-73,"dihydrokaempferol,NADPH:oxygen oxidoreductase (3-hydroxylating)",AT5G07990-MONOMER,['RXN-525'],N/A
189,ENZRXN-14698,xylosyltransferase,MONOMER-13761,['RXN-9104'],N/A
190,ENZRXN-23364,andilesin A <i>O</i>-acetyltransferase,MONOMER-19054,['RXN-16090'],N/A
191,ENZRXN-17491,spermine oxidase,AT1G65840-MONOMER,['RXN-9015'],N/A
192,ENZRXN-21345,2'-deoxyadenosine kinase,MONOMER-17889,['DEOXYADENOSINE-KINASE-RXN'],N/A
193,GLYRIBONUCSYN-ENZRXN,phosphoribosylamine&mdash;glycine ligase,GLYCRIBONUCSYN-MONOMER,['GLYRIBONUCSYN-RXN'],N/A
194,ENZRXN-14871,4-hydroxyphenylpyruvate dioxygenase,MONOMER-13901,['4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN'],N/A
195,ENZRXN-25584,quinol--ferredoxin oxidoreductase,MONOMER-20179,['RXN-18578'],N/A
196,ENZRXN-17650,laurate 11-monooxygenase,MONOMER-15527,['RXN-11340'],N/A
197,ENZRXN-23609,canthaxanthin 3-hydroxylase,MONOMER-12339,['RXN-8186'],N/A
198,NACMURLALAAMI1-ENZRXN,N-acetylmuramoyl-L-alanine amidase,NACMURLALAAMI1-MONOMER,['3.4.24.32-RXN'],N/A
199,ENZRXN-12134,dihydropinosylvin synthase,CPLX-6966,['RXN-7611'],N/A
200,ENZRXN-25719,(<em>S</em>)-limonene 7-monooxygenase,MONOMER-20251,['--LIMONENE-7-MONOOXYGENASE-RXN'],N/A
201,ENZRXN-15170,myristoyl-CoA hydrolase,HS04318-MONOMER,['RXN-9626'],N/A
202,ENZRXN-23740,"2,5-dihydroxypyridine dioxygenase",MONOMER-19248,['1.13.11.9-RXN'],N/A
203,ENZRXN-17913,galactose-1-phosphate uridylyltransferase,MONOMER-15710,['GALACTURIDYLYLTRANS-RXN'],N/A
204,ENZRXN-12297,isobutanol:NAD+ oxidoreductase,CPLX-7009,['RXN-7657'],N/A
205,ENZRXN-8521,NAD pyrophosphatase,MONOMER-8341,['NADPYROPHOSPHAT-RXN'],"['(NAD CPD-12575)', '(NAD ADENOSINE_DIPHOSPHATE_RIBOSE)', '(NAD FAD)', '(NAD NICOTINATE_NUCLEOTIDE)']"
206,ENZRXN-15336,acidic leucine aminopeptidase,MONOMER-14162,['3.4.11.1-RXN'],N/A
207,ENZRXN-25980,prolycopene isomerase,MONOMER-20344,['RXN-8042'],N/A
208,ENZRXN-18053,carboxynorspermidine dehydrogenase,MONOMER-15801,['RXN-11565'],N/A
209,ENZRXN-19020,<i>trans</i>-2-pentenal reductase,AT2G37770-MONOMER,['RXN-12297'],N/A
210,ENZRXN-9282,enolase,MONOMER-9123,['2PGADEHYDRAT-RXN'],N/A
211,ENZRXN-13199,1-18:2-2-18:3-digalactosyldiacylglycerol desaturase,CPLX-1905,['RXN-8314'],N/A
212,ENZRXN-26114,ambiguine L chlorinase,MONOMER-20411,['RXN-19288'],N/A
213,ENZRXN2OL-140,farnesyl diphosphate synthase,SGN-U313326-MONOMER,['FPPSYN-RXN'],N/A
214,ENZRXN-19165,lycopene dioxygenase,MONOMER-16606,['RXN-12396'],N/A
