,entry,reaction,product
17,1.1.1.352,"[""(1) (1'S,5'S)-hydroxyaverantin + NAD+ = 5'-oxoaverantin + NADH + H+ [RN:R10310]"", ""(2) (1'S,5'R)-hydroxyaverantin + NAD+ = 5'-oxoaverantin + NADH + H+ [RN:R10311]""]","[""5'-oxoaverantin [CPD:C20502]"", 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', ""(1'S,5'S)-hydroxyaverantin [CPD:C20500]"", 'NAD+ [CPD:C00003]', ""(1'S,5'R)-hydroxyaverantin [CPD:C20501]""]"
18,1.1.1.353,"[""(1) versicolorone + NADP+ = 1'-hydroxyversicolorone + NADPH + H+ [RN:R09756]"", '(2) versiconol acetate + NADP+ = versiconal hemiacetal acetate + NADPH + H+ [RN:R10399]', '(3) versiconol + NADP+ = versiconal + NADPH + H+ [RN:R10400]']","[""1'-hydroxyversicolorone [CPD:C20503]"", 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'versiconal hemiacetal acetate [CPD:C20505]', 'versiconal [CPD:C20507]', 'versicolorone [CPD:C20504]', 'NADP+ [CPD:C00006]', 'versiconol acetate [CPD:C20506]', 'versiconol [CPD:C20508]']"
19,1.1.1.360,"['(1) D-glucopyranose + NADP+ = D-glucono-1,5-lactone + NADPH + H+ [RN:R07147]', '(2) D-galactopyranose + NADP+ = D-galactono-1,5-lactone + NADPH + H+ [RN:R01096]']","['D-glucono-1,5-lactone [CPD:C00198]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'D-galactono-1,5-lactone [CPD:C02669]', 'D-glucopyranose [CPD:C00031]', 'NADP+ [CPD:C00006]', 'D-galactopyranose [CPD:C00124]']"
20,1.1.1.372,"['(1) glycerol + NADP+ = L-glyceraldehyde + NADPH + H+ [RN:R10563]', '(2) glycerol + NADP+ = D-glyceraldehyde + NADPH + H+ [RN:R01041]']","['L-glyceraldehyde [CPD:C02426]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'D-glyceraldehyde [CPD:C00577]', 'glycerol [CPD:C00116]', 'NADP+ [CPD:C00006]']"
21,1.1.1.381,"['L-allo-threonine + NADP+ = aminoacetone + CO2 + NADPH + H+ (overall reaction) [RN:R10852]', '(1a) L-allo-threonine + NADP+ = L-2-amino-3-oxobutanoate + NADPH + H+ [RN:R10851]', '(1b) L-2-amino-3-oxobutanoate = aminoacetone + CO2 (spontaneous) [RN:R03758]']","['aminoacetone [CPD:C01888]', 'CO2 [CPD:C00011]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'L-2-amino-3-oxobutanoate [CPD:C03508]', 'L-allo-threonine [CPD:C05519]', 'NADP+ [CPD:C00006]', 'L-2-amino-3-oxobutanoate [CPD:C03508]']"
22,1.1.1.387,"['L-serine + NAD+ = 2-aminoacetaldehyde + CO2 + NADH + H+ (overall reaction) [RN:R10986]', '(1a) L-serine + NAD+ = 2-aminomalonate semialdehyde + NADH + H+ [RN:R10985]', '(1b) 2-aminomalonate semialdehyde = 2-aminoacetaldehyde + CO2 (spontaneous) [RN:R06830]']","['2-aminoacetaldehyde [CPD:C06735]', 'CO2 [CPD:C00011]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '2-aminomalonate semialdehyde [CPD:C11822]', 'L-serine [CPD:C00065]', 'NAD+ [CPD:C00003]', '2-aminomalonate semialdehyde [CPD:C11822]']"
23,1.1.1.394,"['aurachin B + NAD+ + H2O = 4-[(2E,6E)-farnesyl]-4-hydroxy-2-methyl-3-oxo-3,4-dihydroquinoline 1-oxide + NADH + H+ (overall reaction) [RN:R11149]', '(1a) 4-[(2E,6E)-farnesyl]-3,4-dihydroxy-2-methyl-3,4-dihydroquinoline 1-oxide + NAD+ = 4-[(2E,6E)-farnesyl]-4-hydroxy-2-methyl-3-oxo-3,4-dihydroquinoline 1-oxide + NADH + H+ [RN:R11147]', '(1b) aurachin B + H2O = 4-[(2E,6E)-farnesyl]-3,4-dihydroxy-2-methyl-3,4-dihydroquinoline 1-oxide (spontaneous) [RN:R11148]']","['4-[(2E,6E)-farnesyl]-4-hydroxy-2-methyl-3-oxo-3,4-dihydroquinoline 1-oxide', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '4-[(2E,6E)-farnesyl]-3,4-dihydroxy-2-methyl-3,4-dihydroquinoline 1-oxide (spontaneous)', 'aurachin B [CPD:C21140]', 'NAD+ [CPD:C00003]', 'H2O [CPD:C00001]', '4-[(2E,6E)-farnesyl]-3,4-dihydroxy-2-methyl-3,4-dihydroquinoline 1-oxide']"
24,1.1.1.396,"['(1) 3-deacetyl-3-(1-hydroxyethyl)bacteriochlorophyllide a + NAD+ = bacteriochlorophyllide a + NADH + H+ [RN:R09055]', '(2) 3-devinyl-3-(1-hydroxyethyl)chlorophyllide a + NAD+ = 3-acetyl-3-devinylchlorophyllide a + NADH + H+']","['bacteriochlorophyllide a [CPD:C18155]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '3-acetyl-3-devinylchlorophyllide a', '3-deacetyl-3-(1-hydroxyethyl)bacteriochlorophyllide a [CPD:C18153]', 'NAD+ [CPD:C00003]', '3-devinyl-3-(1-hydroxyethyl)chlorophyllide a [CPD:C18154]']"
25,1.1.1.398,"['2-(glutathion-S-yl)-2-methylbut-3-en-1-ol + 2 NAD+ + H2O = 2-(glutathion-S-yl)-2-methylbut-3-enoate + 2 NADH + 2 H+ (overall reaction)', '(1a) 2-(glutathion-S-yl)-2-methylbut-3-en-1-ol + NAD+ = 2-(glutathion-S-yl)-2-methylbut-3-enal + NADH + H+', '(1b) 2-(glutathion-S-yl)-2-methylbut-3-enal + NAD+ + H2O = 2-(glutathion-S-yl)-2-methylbut-3-enoate + NADH + H+']","['2-(glutathion-S-yl)-2-methylbut-3-enoate', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '2-(glutathion-S-yl)-2-methylbut-3-enal', '2-(glutathion-S-yl)-2-methylbut-3-en-1-ol [CPD:C21374]', 'NAD+ [CPD:C00003]', 'H2O [CPD:C00001]', '2-(glutathion-S-yl)-2-methylbut-3-enal']"
26,1.1.1.408,"['4-phospho-D-threonate + NAD+ = glycerone phosphate + CO2 + NADH + H+ (overall reaction) [RN:R11724]', '(1a) 4-phospho-D-threonate + NAD+ = 3-dehydro-4-phospho-D-erythronate + NADH + H+', '(1b) 3-dehydro-4-phospho-D-erythronate = glycerone phosphate + CO2 (spontaneous)']","['glycerone phosphate [CPD:C00111]', 'CO2 [CPD:C00011]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '3-dehydro-4-phospho-D-erythronate [CPD:C21610]', '4-phospho-D-threonate [CPD:C21585]', 'NAD+ [CPD:C00003]', '3-dehydro-4-phospho-D-erythronate [CPD:C21610]']"
27,1.1.1.409,"['4-phospho-D-erythronate + NAD+ = glycerone phosphate + CO2 + NADH + H+ (overall reaction) [RN:R11726]', '(1a) 4-phospho-D-erythronate + NAD+ = 3-dehydro-4-phospho-L-threonate + NADH + H+', '(1b) 3-dehydro-4-phospho-L-threonate = glycerone phosphate + CO2 (spontaneous)']","['glycerone phosphate [CPD:C00111]', 'CO2 [CPD:C00011]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', '3-dehydro-4-phospho-L-threonate', '4-phospho-D-erythronate [CPD:C03393]', 'NAD+ [CPD:C00003]', '3-dehydro-4-phospho-L-threonate']"
28,1.1.3.8,"['L-gulono-1,4-lactone + O2 = L-ascorbate + H2O2 (overall reaction) [RN:R10053]', '(1a) L-gulono-1,4-lactone + O2 = L-xylo-hex-2-ulono-1,4-lactone + H2O2 [RN:R03184]', '(1b) L-xylo-hex-2-ulono-1,4-lactone = L-ascorbate (spontaneous) [RN:R00647]']","['L-ascorbate [CPD:C00072]', 'H2O2 [CPD:C00027]', 'L-xylo-hex-2-ulono-1,4-lactone [CPD:C03289]', 'L-gulono-1,4-lactone [CPD:C01040]', 'O2 [CPD:C00007]', 'L-xylo-hex-2-ulono-1,4-lactone [CPD:C03289]']"
29,1.1.3.17,"['choline + 2 O2 + H2O = betaine + 2 H2O2 (overall reaction) [RN:R08212]', '(1a) choline + O2 = betaine aldehyde + H2O2 [RN:R01022]', '(1b) betaine aldehyde + O2 + H2O = betaine + H2O2 [RN:R08211]']","['betaine [CPD:C00719]', 'H2O2 [CPD:C00027]', 'betaine aldehyde [CPD:C00576]', 'choline [CPD:C00114]', 'O2 [CPD:C00007]', 'H2O [CPD:C00001]', 'betaine aldehyde [CPD:C00576]']"
30,1.1.3.28,"['inosine + O2 = 9-riburonosylhypoxanthine + H2O [RN:R05821]', ""(1a) 2 inosine + O2 = 2 5'-dehydroinosine + 2 H2O [RN:R00055]"", ""(1b) 2 5'-dehydroinosine + O2 = 2 9-riburonosylhypoxanthine [RN:R05822]""]","['9-riburonosylhypoxanthine [CPD:C11631]', 'H2O [CPD:C00001]', ""5'-dehydroinosine [CPD:C01993]"", 'inosine [CPD:C00294]', 'O2 [CPD:C00007]', ""5'-dehydroinosine [CPD:C01993]""]"
31,1.1.3.39,"['adenosine + 2 O2 + H2O = 9-riburonosyladenine + 2 H2O2 (overall reaction) [RN:R05695]', ""(1a) adenosine + O2 = 5'-dehydroadenosine + H2O2 [RN:R05696]"", ""(1b) 5'-dehydroadenosine + O2 + H2O = 9-riburonosyladenine + H2O2 [RN:R05697]""]","['9-riburonosyladenine [CPD:C11501]', 'H2O2 [CPD:C00027]', ""5'-dehydroadenosine [CPD:C11500]"", 'adenosine [CPD:C00212]', 'O2 [CPD:C00007]', 'H2O [CPD:C00001]', ""5'-dehydroadenosine [CPD:C11500]""]"
32,1.1.3.47,"['5-(hydroxymethyl)furfural + 3 O2 + 2 H2O = furan-2,5-dicarboxylate + 3 H2O2 (overall reaction) [RN:R10858]', '(1a) 5-(hydroxymethyl)furfural + O2 = furan-2,5-dicarbaldehyde + H2O2 [RN:R10853]', '(1b) furan-2,5-dicarbaldehyde + H2O = 5-(dihydroxymethyl)furan-2-carbaldehyde (spontaneous) [RN:R10854]', '(1c) 5-(dihydroxymethyl)furan-2-carbaldehyde + O2 = 5-formylfuran-2-carboxylate + H2O2 [RN:R10855]', '(1d) 5-formylfuran-2-carboxylate + H2O = 5-(dihydroxymethyl)furan-2-carboxylate (spontaneous) [RN:R10856]', '(1e) 5-(dihydroxymethyl)furan-2-carboxylate + O2 = furan-2,5-dicarboxylate + H2O2 [RN:R10857]']","['furan-2,5-dicarboxylate [CPD:C20450]', 'H2O2 [CPD:C00027]', 'furan-2,5-dicarbaldehyde [CPD:C20899]', '5-(dihydroxymethyl)furan-2-carbaldehyde [CPD:C20900]', '5-formylfuran-2-carboxylate [CPD:C20449]', '5-(dihydroxymethyl)furan-2-carboxylate [CPD:C20901]', '5-hydroxymethylfurfural [CPD:C11101]', 'O2 [CPD:C00007]', 'H2O [CPD:C00001]', 'furan-2,5-dicarbaldehyde [CPD:C20899]', '5-(dihydroxymethyl)furan-2-carbaldehyde [CPD:C20900]', '5-formylfuran-2-carboxylate [CPD:C20449]', '5-(dihydroxymethyl)furan-2-carboxylate [CPD:C20901]']"
33,1.1.99.29,"['(1) a pyranose + acceptor = a pyranos-2-ulose (or a pyranos-3-ulose or a pyranos-2,3-diulose) + reduced acceptor [RN:R07347]', '(2) a pyranoside + acceptor = a pyranosid-3-ulose (or a pyranosid-3,4-diulose) + reduced acceptor [RN:R07348]']","['pyranos-2-ulose', 'pyranos-3-ulose', 'pyranos-2,3-diulose', 'reduced acceptor [CPD:C00030]', 'pyranosid-3-ulose', 'pyranosid-3,4-diulose', 'pyranose [CPD:C15592]', 'acceptor [CPD:C00028]', 'pyranoside [CPD:C15594]']"
34,1.1.99.41,"['(1) (3R)-3-hydroxy-16-methoxy-2,3-dihydrotabersonine + acceptor = (3R)-3-hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine + reduced acceptor [RN:R11777]', '(2) (3R)-3-hydroxy-2,3-dihydrotabersonine + acceptor = (3R)-3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine + reduced acceptor [RN:R11802]']","['(3R)-3-hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine [CPD:C21678]', 'reduced acceptor [CPD:C00030]', '(3R)-3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine [CPD:C21683]', '(3R)-3-hydroxy-16-methoxy-2,3-dihydrotabersonine [CPD:C04578]', 'acceptor [CPD:C00028]', '(3R)-3-hydroxy-2,3-dihydrotabersonine [CPD:C21682]']"
35,1.2.1.31,"['(S)-2-amino-6-oxohexanoate + NAD(P)+ + H2O = L-2-aminoadipate + NAD(P)H + H+ (overall reaction) [RN:R03102 R03103]', '(1a) (S)-2-amino-6-oxohexanoate = (S)-2,3,4,5-tetrahydropyridine-2-carboxylate + H2O (spontaneous) [RN:R02317]', '(1b) (S)-2,3,4,5-tetrahydropyridine-2-carboxylate + NAD(P)+ + 2 H2O = L-2-aminoadipate + NAD(P)H + H+ [RN:R11231 R11232]']","['L-2-aminoadipate [CPD:C00956]', 'NADH [CPD:C00004]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '(S)-2,3,4,5-tetrahydropyridine-2-carboxylate [CPD:C00450]', 'H2O [CPD:C00001]', '(S)-2-amino-6-oxohexanoate [CPD:C04076]', 'NAD+ [CPD:C00003]', 'NADP+ [CPD:C00006]', 'H2O [CPD:C00001]', '(S)-2,3,4,5-tetrahydropyridine-2-carboxylate [CPD:C00450]']"
36,1.2.1.95,"['(S)-2-amino-6-oxohexanoate + NADP+ + AMP + diphosphate = L-2-aminoadipate + NADPH + H+ + ATP (overall reaction) [RN:R11679]', '(1a) L-2-aminoadipyl-[LYS2 peptidyl-carrier-protein] + AMP + diphosphate = L-2-aminoadipate + holo-[LYS2 peptidyl-carrier-protein] + ATP', '(1b) (S)-2-amino-6-oxohexanoate + holo-[LYS2 peptidyl-carrier-protein] + NADP+ = L-2-aminoadipyl-[LYS2 peptidyl-carrier-protein] + NADPH + H+']","['L-2-aminoadipate [CPD:C00956]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'ATP [CPD:C00002]', 'holo-[LYS2 peptidyl-carrier-protein]', 'L-2-aminoadipyl-[LYS2 peptidyl-carrier-protein]', '(S)-2-amino-6-oxohexanoate [CPD:C04076]', 'NADP+ [CPD:C00006]', 'AMP [CPD:C00020]', 'diphosphate [CPD:C00013]', 'L-2-aminoadipyl-[LYS2 peptidyl-carrier-protein]', 'holo-[LYS2 peptidyl-carrier-protein]']"
37,1.2.3.15,"['(1) glyoxal + H2O + O2 = glyoxylate + H2O2 [RN:R11351]', '(2) 2-oxopropanal + H2O + O2 = pyruvate + H2O2 [RN:R11352]']","['glyoxylate [CPD:C00048]', 'H2O2 [CPD:C00027]', 'pyruvate [CPD:C00022]', 'glyoxal [CPD:C14448]', 'H2O [CPD:C00001]', 'O2 [CPD:C00007]', '2-oxopropanal [CPD:C00546]']"
38,1.2.99.10,"[""(1) 4,4'-diapolycopen-4-al + H2O + acceptor = 4,4'-diapolycopen-4-oate + reduced acceptor [RN:R11913]"", ""(2) 4,4'-diapolycopene-4,4'-dial + 2 H2O + 2 acceptor = 4,4'-diapolycopene-4,4'-dioate + 2 reduced acceptor [RN:R11914]""]","[""4,4'-diapolycopen-4-oate [CPD:C21768]"", 'reduced acceptor [CPD:C00030]', ""4,4'-diapolycopene-4,4'-dioate [CPD:C21770]"", ""4,4'-diapolycopen-4-al [CPD:C21766]"", 'H2O [CPD:C00001]', 'acceptor [CPD:C00028]', ""4,4'-diapolycopene-4,4'-dial [CPD:C19798]""]"
39,1.3.1.1,"['(1) 5,6-dihydrouracil + NAD+ = uracil + NADH + H+ [RN:R00977]', '(2) 5,6-dihydrothymine + NAD+ = thymine + NADH + H+ [RN:R01414]']","['uracil [CPD:C00106]', 'NADH [CPD:C00004]', 'H+ [CPD:C00080]', 'thymine [CPD:C00178]', '5,6-dihydrouracil [CPD:C00429]', 'NAD+ [CPD:C00003]', '5,6-dihydrothymine [CPD:C00906]']"
40,1.3.1.3,"['(1) 5beta-cholestan-3-one + NADP+ = cholest-4-en-3-one + NADPH + H+ [RN:R02609]', '(2) 17,21-dihydroxy-5beta-pregnane-3,11,20-trione + NADP+ = cortisone + NADPH + H+ [RN:R02893]']","['cholest-4-en-3-one [CPD:C00599]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', 'cortisone [CPD:C00762]', '5beta-cholestan-3-one [CPD:C03091]', 'NADP+ [CPD:C00006]', '17,21-dihydroxy-5beta-pregnane-3,11,20-trione']"
41,1.3.1.81,"['(1) (-)-menthone + NADP+ = (+)-pulegone + NADPH + H+ [RN:R06419]', '(2) (+)-isomenthone + NADP+ = (+)-pulegone + NADPH + H+ [RN:R06420]']","['(+)-pulegone [CPD:C09893]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]', '(-)-menthone [CPD:C00843]', 'NADP+ [CPD:C00006]', '(+)-isomenthone [CPD:C11952]']"
