,ec_number,enzyme_name,product_cpd,dblinks,product_formula,product_mass,product_name,pubchem_id
13,1.1.1.387,"['L-serine 3-dehydrogenase (NAD+)', 'NAD+-dependent L-serine dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
14,1.1.1.394,"['aurachin B dehydrogenase', 'AuaH']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
15,1.1.1.396,"['bacteriochlorophyllide a dehydrogenase', 'bchC (gene name)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
16,1.1.1.398,"['2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase', 'isoH (gene name)', '4-hydroxy-3-glutathionyl-3-methylbut-1-ene dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
17,1.1.1.408,"['4-phospho-D-threonate 3-dehydrogenase', 'pdxA2 (gene name) (ambiguous)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
18,1.1.1.409,"['4-phospho-D-erythronate 3-dehydrogenase', 'pdxA2 (gene name) (ambiguous)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
19,1.2.1.31,"['L-aminoadipate-semialdehyde dehydrogenase', 'aminoadipate semialdehyde dehydrogenase', '2-aminoadipate semialdehyde dehydrogenase', 'alpha-aminoadipate-semialdehyde dehydrogenase', 'alpha-aminoadipate reductase', '2-aminoadipic semialdehyde dehydrogenase', 'L-alpha-aminoadipate delta-semialdehyde oxidoreductase', 'L-alpha-aminoadipate delta-semialdehyde:NAD+ oxidoreductase', 'L-alpha-aminoadipate delta-semialdehyde:nicotinamide adenine dinucleotide oxidoreductase', 'L-2-aminoadipate 6-semialdehyde:NAD(P)+ 6-oxidoreductase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
20,1.3.1.1,"['dihydropyrimidine dehydrogenase (NAD+)', 'dihydropyrimidine dehydrogenase', 'dihydrothymine dehydrogenase', 'pyrimidine reductase', 'thymine reductase', 'uracil reductase', 'dihydrouracil dehydrogenase (NAD+)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
21,1.3.1.87,"['3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase', 'hcaB (gene name)', 'cis-dihydrodiol dehydrogenase', '2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
22,1.3.1.88,"['tRNA-dihydrouridine16/17 synthase [NAD(P)+]', 'Dus1p', 'tRNA-dihydrouridine synthase 1']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
23,1.3.1.90,"['tRNA-dihydrouridine20a/20b synthase [NAD(P)+]', 'Dus4p']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
24,1.3.1.107,['sanguinarine reductase'],C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
25,1.3.1.114,"['3-dehydro-bile acid Delta4,6-reductase', 'baiN (gene name)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
26,1.3.1.115,"['3-oxocholoyl-CoA 4-desaturase', 'baiCD (gene name)', '3-oxo-choloyl-CoA dehydrogenase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
27,1.4.1.18,"['lysine 6-dehydrogenase', 'L-lysine epsilon-dehydrogenase', 'L-lysine 6-dehydrogenase', 'LysDH']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
28,1.5.1.1,"['1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H]', 'Delta1-pyrroline-2-carboxylate reductase', 'DELTA1-pyrroline-2-carboxylate reductase', 'DELTA1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (ambiguous)', 'AbLhpI', 'pyrroline-2-carboxylate reductase', 'L-proline:NAD(P)+ 2-oxidoreductase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
29,1.18.1.3,"['ferredoxin---NAD+ reductase', 'ferredoxin-nicotinamide adenine dinucleotide reductase', 'ferredoxin reductase (ambiguous)', 'NAD+-ferredoxin reductase', 'NADH-ferredoxin oxidoreductase', 'reductase, reduced nicotinamide adenine dinucleotide-ferredoxin', 'ferredoxin-NAD+ reductase', 'NADH-ferredoxin reductase', 'NADH2-ferredoxin oxidoreductase', 'NADH flavodoxin oxidoreductase', 'NADH-ferredoxin NAP reductase (component of naphthalene dioxygenase multicomponent enzyme system)', 'ferredoxin-linked NAD+ reductase', 'NADH-ferredoxin TOL reductase (component of toluene dioxygenase)', 'ferredoxin---NAD reductase']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
30,2.5.1.46,"['deoxyhypusine synthase', 'spermidine:eIF5A-lysine 4-aminobutyltransferase (propane-1,3-diamine-forming)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
31,4.2.1.93,"['ATP-dependent NAD(P)H-hydrate dehydratase', 'reduced nicotinamide adenine dinucleotide hydrate dehydratase', 'ATP-dependent H4NAD(P)+OH dehydratase', '(6S)-beta-6-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase(ATP-hydrolysing)', '(6S)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing', 'NADH-forming)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
32,4.2.1.136,"['ADP-dependent NAD(P)H-hydrate dehydratase', '(6S)-beta-6-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase(ADP-hydrolysing)', '(6S)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ADP-hydrolysing', 'NADH-forming)']",C00004,"[('CAS', ['58-68-4']), ('PubChem', ['3306']), ('ChEBI', ['16908']), ('KNApSAcK', ['C00019343']), ('PDB-CCD', ['NAI']), ('3DMET', ['B01127']), ('NIKKAJI', ['J213.546I'])]",C21H29N7O14P2,,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']",3306
33,1.1.1.1,"['alcohol dehydrogenase', 'aldehyde reductase', 'ADH', 'alcohol dehydrogenase (NAD)', 'aliphatic alcohol dehydrogenase', 'ethanol dehydrogenase', 'NAD-dependent alcohol dehydrogenase', 'NAD-specific aromatic alcohol dehydrogenase', 'NADH-alcohol dehydrogenase', 'NADH-aldehyde dehydrogenase', 'primary alcohol dehydrogenase', 'yeast alcohol dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
34,1.1.1.42,"['isocitrate dehydrogenase (NADP+)', 'oxalosuccinate decarboxylase', 'oxalsuccinic decarboxylase', 'isocitrate (NADP) dehydrogenase', 'isocitrate (nicotinamide adenine dinucleotide phosphate) dehydrogenase', 'NADP-specific isocitrate dehydrogenase', 'NADP-linked isocitrate dehydrogenase', 'NADP-dependent isocitrate dehydrogenase', 'NADP isocitric dehydrogenase', 'isocitrate dehydrogenase (NADP-dependent)', 'NADP-dependent isocitric dehydrogenase', 'triphosphopyridine nucleotide-linked isocitrate dehydrogenase-oxalosuccinate carboxylase', 'NADP+-linked isocitrate dehydrogenase', 'IDH (ambiguous)', 'dual-cofactor-specific isocitrate dehydrogenase', 'NADP+-ICDH', 'NADP+-IDH', 'IDP', 'IDP1', 'IDP2', 'IDP3']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
35,1.1.1.85,"['3-isopropylmalate dehydrogenase', 'beta-isopropylmalic enzyme', 'beta-isopropylmalate dehydrogenase', 'threo-Ds-3-isopropylmalate dehydrogenase', '3-carboxy-2-hydroxy-4-methylpentanoate:NAD+ oxidoreductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
36,1.1.1.110,"['aromatic 2-oxoacid reductase', '(R)-aromatic lactate dehydrogenase', '(R)-4-hydroxyphenyllactate dehydrogenase', 'indolelactate:NAD+ oxidoreductase', 'indolelactate dehydrogenase', 'fldH (gene name)', '(indol-3-yl)lactate:NAD+ oxidoreductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
37,1.1.1.153,"['sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)', 'SR']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
38,1.1.1.187,"['GDP-4-dehydro-D-rhamnose reductase', 'GDP-4-keto-6-deoxy-D-mannose reductase', 'GDP-4-keto-D-rhamnose reductase', 'guanosine diphosphate-4-keto-D-rhamnose reductase', 'GDP-6-deoxy-D-mannose:NAD(P)+ 4-oxidoreductase', 'GDP-6-deoxy-alpha-D-mannose:NAD(P)+ 4-oxidoreductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
39,1.1.1.203,"['uronate dehydrogenase', 'uronate:NAD-oxidoreductase', 'uronic acid dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
40,1.1.1.237,"['hydroxyphenylpyruvate reductase', 'HPPR']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
41,1.1.1.276,"['serine 3-dehydrogenase (NADP+)', 'serine 3-dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
42,1.1.1.282,"['quinate/shikimate dehydrogenase', 'YdiB']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
43,1.1.1.286,"['isocitrate---homoisocitrate dehydrogenase', 'homoisocitrate---isocitrate dehydrogenase', 'PH1722']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
44,1.1.1.287,"['D-arabinitol dehydrogenase (NADP+)', 'NADP+-dependent D-arabitol dehydrogenase', 'ARD1p', 'D-arabitol dehydrogenase 1']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
45,1.1.1.297,"['limonene-1,2-diol dehydrogenase', 'NAD+-dependent limonene-1,2-diol dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
46,1.1.1.324,"['8-hydroxygeraniol dehydrogenase', '8-hydroxygeraniol oxidoreductase', 'CYP76B10', 'G10H', 'CrG10H', 'SmG10H', 'acyclic monoterpene primary alcohol:NADP+ oxidoreductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
47,1.1.1.325,"['sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
48,1.1.1.352,"[""5'-hydroxyaverantin dehydrogenase"", 'HAVN dehydrogenase', 'adhA (gene name)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
49,1.1.1.353,"['versiconal hemiacetal acetate reductase', 'VHA reductase', 'VHA reductase I', 'VHA reductase II', 'vrdA (gene name)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
50,1.1.1.360,"['glucose/galactose 1-dehydrogenase', 'GdhA', 'dual-specific glucose/galactose dehydrogenase', 'glucose (galactose) dehydrogenase', 'glucose/galactose dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
51,1.1.1.372,"['D/L-glyceraldehyde reductase', 'gld1 (gene name)', 'gaaD (gene name)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
52,1.1.1.381,"['3-hydroxy acid dehydrogenase', 'ydfG (gene name)', 'YMR226c (gene name)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
53,1.1.1.387,"['L-serine 3-dehydrogenase (NAD+)', 'NAD+-dependent L-serine dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
54,1.1.1.394,"['aurachin B dehydrogenase', 'AuaH']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
55,1.1.1.396,"['bacteriochlorophyllide a dehydrogenase', 'bchC (gene name)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
56,1.1.1.398,"['2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase', 'isoH (gene name)', '4-hydroxy-3-glutathionyl-3-methylbut-1-ene dehydrogenase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
57,1.1.1.408,"['4-phospho-D-threonate 3-dehydrogenase', 'pdxA2 (gene name) (ambiguous)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
58,1.1.1.409,"['4-phospho-D-erythronate 3-dehydrogenase', 'pdxA2 (gene name) (ambiguous)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
59,1.2.1.31,"['L-aminoadipate-semialdehyde dehydrogenase', 'aminoadipate semialdehyde dehydrogenase', '2-aminoadipate semialdehyde dehydrogenase', 'alpha-aminoadipate-semialdehyde dehydrogenase', 'alpha-aminoadipate reductase', '2-aminoadipic semialdehyde dehydrogenase', 'L-alpha-aminoadipate delta-semialdehyde oxidoreductase', 'L-alpha-aminoadipate delta-semialdehyde:NAD+ oxidoreductase', 'L-alpha-aminoadipate delta-semialdehyde:nicotinamide adenine dinucleotide oxidoreductase', 'L-2-aminoadipate 6-semialdehyde:NAD(P)+ 6-oxidoreductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
60,1.2.1.95,"['L-2-aminoadipate reductase', 'LYS2', 'alpha-aminoadipate reductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
61,1.3.1.1,"['dihydropyrimidine dehydrogenase (NAD+)', 'dihydropyrimidine dehydrogenase', 'dihydrothymine dehydrogenase', 'pyrimidine reductase', 'thymine reductase', 'uracil reductase', 'dihydrouracil dehydrogenase (NAD+)']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
62,1.3.1.3,"['Delta4-3-oxosteroid 5beta-reductase', '3-oxo-Delta4-steroid 5beta-reductase', '5beta-reductase', 'androstenedione 5beta-reductase', 'cholestenone 5beta-reductase', 'cortisone 5beta-reductase', 'cortisone beta-reductase', 'cortisone Delta4-5beta-reductase', 'steroid 5beta-reductase', 'testosterone 5beta-reductase', 'Delta4-3-ketosteroid 5beta-reductase', 'Delta4-5beta-reductase', 'Delta4-hydrogenase', '4,5beta-dihydrocortisone:NADP+ Delta4-oxidoreductase', '3-oxo-5beta-steroid:NADP+ Delta4-oxidoreductase']",C00080,"[('PubChem', ['3380']), ('ChEBI', ['15378', '24636'])]",H,,"['H+', 'Hydron']",3380
