,CPD,description
64,cpd:C00067,Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin
65,cpd:C00068,Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP
66,cpd:C00069,Alcohol
67,cpd:C00070,Copper; Cu+; Cu2+; Cu(II)
68,cpd:C00071,Aldehyde; RCHO
69,cpd:C00072,Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C
70,cpd:C00073,L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
71,cpd:C00074,Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP
72,cpd:C00075,UTP; Uridine 5'-triphosphate; Uridine triphosphate
73,cpd:C00076,Calcium cation; Ca2+; Calcium(2+); Calcium ion
74,cpd:C00077,"L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate"
75,cpd:C00078,L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
76,cpd:C00079,L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid
77,cpd:C00080,H+; Hydron
78,cpd:C00081,ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate
79,cpd:C00082,L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine
80,cpd:C00083,Malonyl-CoA; Malonyl coenzyme A
81,cpd:C00084,Acetaldehyde; Ethanal
82,cpd:C00085,D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester
83,cpd:C00086,Urea; Carbamide
84,cpd:C00087,Sulfur; S; Elemental sulfur
85,cpd:C00088,Nitrite
86,cpd:C00089,Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
87,cpd:C00090,"Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol"
88,cpd:C00091,Succinyl-CoA; Succinyl coenzyme A
89,cpd:C00092,D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester
90,cpd:C00093,sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate
91,cpd:C00094,Sulfite; Sulfurous acid
92,cpd:C00095,D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose
93,cpd:C00096,GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose
94,cpd:C00097,L-Cysteine; L-2-Amino-3-mercaptopropionic acid
95,cpd:C00098,Oligopeptide
96,cpd:C00099,beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate
97,cpd:C00100,Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A
98,cpd:C00101,"Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA"
99,cpd:C00102,"2,6-Dichloroindophenol; 2,6-Dichlorophenolindophenol; DCIP"
100,cpd:C00103,D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate
101,cpd:C00104,IDP; Inosine 5'-diphosphate; Inosine diphosphate
102,cpd:C00105,UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid
103,cpd:C00106,Uracil
104,cpd:C00107,Dipeptide
105,cpd:C00108,Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate
106,cpd:C00109,2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate
107,cpd:C00110,Dolichyl phosphate; Dolichol phosphate
108,cpd:C00111,Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate
109,cpd:C00112,CDP; Cytidine 5'-diphosphate; Cytidine diphosphate
110,cpd:C00113,"PQQ; Pyrrolo-quinoline quinone; Pyrroloquinoline-quinone; Pyrroloquinoline quinone; 4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate; Methoxatin"
111,cpd:C00114,Choline; Bilineurine
112,cpd:C00116,"Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol"
113,cpd:C00117,D-Ribose 5-phosphate; Ribose 5-phosphate
114,cpd:C00118,D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate
115,cpd:C00119,5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP
116,cpd:C00120,Biotin; D-Biotin; Vitamin H; Coenzyme R
117,cpd:C00121,D-Ribose
118,cpd:C00122,Fumarate; Fumaric acid; trans-Butenedioic acid
119,cpd:C00123,L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
120,cpd:C00124,D-Galactose; D-Galactopyranose
121,cpd:C00125,Ferricytochrome c; Cytochrome c3+
122,cpd:C00126,Ferrocytochrome c; Cytochrome c2+; Reduced cytochrome c
123,cpd:C00127,Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione
124,cpd:C00128,CMP-N-acetylneuraminate; CMP-N-acetyl-beta-neuraminate
125,cpd:C00129,Isopentenyl diphosphate; Delta3-Isopentenyl diphosphate; Delta3-Methyl-3-butenyl diphosphate
126,cpd:C00130,IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP
127,cpd:C00131,dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate
128,cpd:C00132,Methanol; Methyl alcohol; CH3OH
129,cpd:C00133,D-Alanine; D-2-Aminopropionic acid; D-Ala
130,cpd:C00134,"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine"
131,cpd:C00135,L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
132,cpd:C00136,Butanoyl-CoA; Butyryl-CoA
133,cpd:C00137,myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I
134,cpd:C00138,Reduced ferredoxin; Reduced ferredoxin [iron-sulfur] cluster
135,cpd:C00139,Oxidized ferredoxin; Oxidized ferredoxin [iron-sulfur] cluster
136,cpd:C00140,N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc
137,cpd:C00141,3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid
138,cpd:C00143,"5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF"
139,cpd:C00144,GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid
140,cpd:C00145,Thiol; Mercaptan
141,cpd:C00146,Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid
142,cpd:C00147,Adenine; 6-Aminopurine
143,cpd:C00148,L-Proline; 2-Pyrrolidinecarboxylic acid
144,cpd:C00149,(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid
145,cpd:C00150,Molybdenum
146,cpd:C00151,L-Amino acid; L-2-Amino acid
147,cpd:C00152,L-Asparagine; 2-Aminosuccinamic acid
148,cpd:C00153,Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP
149,cpd:C00154,Palmitoyl-CoA; Hexadecanoyl-CoA
150,cpd:C00155,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
151,cpd:C00156,4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid
152,cpd:C00157,"Phosphatidylcholine; Lecithin; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phosphocholine; Choline phosphatide; 3-sn-Phosphatidylcholine"
153,cpd:C00158,"Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid"
154,cpd:C00159,D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose
155,cpd:C00160,Glycolate; Glycolic acid; Hydroxyacetic acid
156,cpd:C00161,2-Oxo acid; 2-Oxocarboxylate; 2-Oxocarboxylic acid; 2-Oxo carboxylate
157,cpd:C00162,Fatty acid
158,cpd:C00163,Propanoate; Propionate; Propanoic acid; Propionic acid
159,cpd:C00164,Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid
160,cpd:C00165,Diacylglycerol; Diglyceride
161,cpd:C00166,Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate
162,cpd:C00167,UDP-glucuronate; UDPglucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate
163,cpd:C00168,Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid
164,cpd:C00169,Carbamoyl phosphate
165,cpd:C00170,5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA
166,cpd:C00171,5'-Phosphomononucleotide; 5'-Nucleotide
167,cpd:C00172,3'-Phosphooligonucleotide
168,cpd:C00173,Acyl-[acyl-carrier protein]
169,cpd:C00174,Acid
170,cpd:C00175,Cobalt ion; Cobalt(2+); Co2+; Co(II)
171,cpd:C00176,Flavin
172,cpd:C00177,Cyanide ion; Prussiate; CN-; Cyano; Cyanide
173,cpd:C00178,Thymine; 5-Methyluracil
174,cpd:C00179,Agmatine; (4-Aminobutyl) guanidine
175,cpd:C00180,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid
176,cpd:C00181,D-Xylose; Wood sugar
177,cpd:C00182,Glycogen
178,cpd:C00183,L-Valine; 2-Amino-3-methylbutyric acid
179,cpd:C00184,"Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one"
180,cpd:C00185,Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose
181,cpd:C00186,(S)-Lactate; L-Lactate; L-Lactic acid
182,cpd:C00187,Cholesterol; Cholest-5-en-3beta-ol
183,cpd:C00188,L-Threonine; 2-Amino-3-hydroxybutyric acid
184,cpd:C00189,Ethanolamine; Aminoethanol; 2-Hydroxyethylamine
185,cpd:C00190,UDP-D-xylose; UDP-xylose; UDP-alpha-D-xylose
186,cpd:C00191,D-Glucuronate; Glucuronic acid; Glucuronate
187,cpd:C00192,Hydroxylamine; NH2OH
188,cpd:C00193,Aromatic aldehyde
189,cpd:C00194,"Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide"
190,cpd:C00195,N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide
191,cpd:C00196,"2,3-Dihydroxybenzoate; 2,3-Dihydroxybenzoic acid"
192,cpd:C00197,3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate
193,cpd:C00198,"D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone"
194,cpd:C00199,D-Ribulose 5-phosphate
195,cpd:C00200,Phenazine methosulfate; N-Methylphenazonium methosulfate; 5-Methylphenazinium methyl sulphate
196,cpd:C00201,Nucleoside triphosphate; NTP; Nucleoside 5'-triphosphate
197,cpd:C00202,Isoflurophate; Diisopropyl fluorophosphate; DFP
198,cpd:C00203,UDP-N-acetyl-D-galactosamine; UDP-N-acetyl-alpha-D-galactosamine
199,cpd:C00204,2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate
200,cpd:C00205,hn; Light; Photon; hnu
201,cpd:C00206,dADP; 2'-Deoxyadenosine 5'-diphosphate
202,cpd:C00207,Acetone; Dimethyl ketone; 2-Propanone
203,cpd:C00208,Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
204,cpd:C00209,Oxalate; Oxalic acid; Ethanedioic acid
205,cpd:C00210,Cobamide
206,cpd:C00211,Collagen
207,cpd:C00212,Adenosine
208,cpd:C00213,Sarcosine; N-Methylglycine
209,cpd:C00214,Thymidine; Deoxythymidine
210,cpd:C00215,Nucleotide
211,cpd:C00216,D-Arabinose
212,cpd:C00217,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid
213,cpd:C00218,Methylamine; Methanamine
214,cpd:C00219,"Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid"
215,cpd:C00220,Methylene blue; Methylthioninium chloride
216,cpd:C00221,beta-D-Glucose; beta-D-Glucopyranose
217,cpd:C00222,3-Oxopropanoate; Malonate semialdehyde
218,cpd:C00223,p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA; trans-4-Coumaroyl-CoA
219,cpd:C00224,Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate
220,cpd:C00225,"Methyl viologen; Paraquat dichloride; 1,1'-Dimethyl-4,4'-bipyridinium dichloride"
221,cpd:C00226,Primary alcohol; 1-Alcohol
222,cpd:C00227,Acetyl phosphate
223,cpd:C00229,Acyl-carrier protein; ACP; [Acyl-carrier protein]; Holo-[acyl-carrier protein]
224,cpd:C00230,"3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid"
225,cpd:C00231,D-Xylulose 5-phosphate
226,cpd:C00232,Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate
227,cpd:C00233,4-Methyl-2-oxopentanoate; 2-Oxoisocaproate
228,cpd:C00234,10-Formyltetrahydrofolate; 10-Formyl-THF
229,cpd:C00235,Dimethylallyl diphosphate; 2-Isopentenyl diphosphate; Delta2-Isopentenyl diphosphate; Dimethylallyl pyrophosphate; DMAPP; Monoprenyl diphosphate; Prenyl diphosphate
230,cpd:C00236,"3-Phospho-D-glyceroyl phosphate; 1,3-Bisphospho-D-glycerate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid; D-Glycerate 1,3-diphosphate"
231,cpd:C00237,CO; Carbon monoxide
232,cpd:C00238,Potassium cation; K+; Potassium(1+); Potassium ion
233,cpd:C00239,dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monophosphate
234,cpd:C00240,rRNA; Ribosomal RNA
235,cpd:C00241,Amide
236,cpd:C00242,Guanine; 2-Amino-6-hydroxypurine
237,cpd:C00243,Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar
238,cpd:C00244,Nitrate; Nitric acid
239,cpd:C00245,Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid
240,cpd:C00246,Butanoic acid; Butanoate; Butyrate; Butyric acid
241,cpd:C00247,L-Sorbose; L-xylo-Hexulose
242,cpd:C00248,Lipoamide; Thioctic acid amide
243,cpd:C00249,Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid
244,cpd:C00250,Pyridoxal
245,cpd:C00251,"Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate"
246,cpd:C00252,Isomaltose; Brachiose
247,cpd:C00253,Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid
248,cpd:C00254,Prephenate; Prephenic acid
249,cpd:C00255,"Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2"
250,cpd:C00256,(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid
251,cpd:C00257,D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid
252,cpd:C00258,D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid
253,cpd:C00259,L-Arabinose; L-Arabinopyranose
254,cpd:C00261,Benzaldehyde; Benzoic aldehyde
255,cpd:C00262,Hypoxanthine; Purine-6-ol
256,cpd:C00263,L-Homoserine; 2-Amino-4-hydroxybutyric acid
257,cpd:C00264,3-Oxoacyl-CoA
258,cpd:C00265,"Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol"
259,cpd:C00266,Glycolaldehyde; Hydroxyacetaldehyde
260,cpd:C00267,alpha-D-Glucose
261,cpd:C00268,"Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin"
262,cpd:C00269,"CDP-diacylglycerol; CDP-1,2-diacylglycerol; 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate"
263,cpd:C00270,"N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac"
264,cpd:C00272,"Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone; L-erythro-Tetrahydrobiopterin"
265,cpd:C00273,5-Dehydro-D-fructose
266,cpd:C00275,D-Mannose 6-phosphate
267,cpd:C00279,D-Erythrose 4-phosphate
268,cpd:C00280,"Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione"
269,cpd:C00282,Hydrogen; H2
270,cpd:C00283,Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide
271,cpd:C00284,EDTA; Ethylenediaminetetraacetic acid; Edetic acid; Ethylenediaminetetraacetate
272,cpd:C00286,dGTP; 2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate
273,cpd:C00288,HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate
274,cpd:C00290,Fibrin
275,cpd:C00291,Nickel
276,cpd:C00292,Aniline; Phenylamine; Benzenamine; Arylamine
277,cpd:C00294,Inosine
278,cpd:C00295,Orotate; Orotic acid; Uracil-6-carboxylic acid
279,cpd:C00296,Quinate; Quinic acid; Kinic acid; Chinic acid; L-Quinic acid; L-Quinate; (-)-Quinic acid
280,cpd:C00297,Sulfide; Thioether
281,cpd:C00298,Trypsin; Trypsin crystallized
282,cpd:C00299,Uridine
283,cpd:C00300,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
284,cpd:C00301,ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose
285,cpd:C00302,Glutamate; Glutaminic acid; 2-Aminoglutaric acid
286,cpd:C00303,Glutamine; 2-Aminoglutaramic acid
287,cpd:C00304,Kanamycin
288,cpd:C00305,Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion
289,cpd:C00306,Bradykinin
290,cpd:C00307,CDP-choline; Cytidine 5'-diphosphocholine; Citicoline
291,cpd:C00308,Canavanine; L-Canavanine; 2-Amino-4-(guanidinooxy)butyric acid
292,cpd:C00309,D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose
293,cpd:C00310,D-Xylulose; D-threo-Pentulose; D-Lyxulose
294,cpd:C00311,"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid"
295,cpd:C00312,L-Xylulose; L-threo-Pentulose; L-Lyxulose
296,cpd:C00313,Oxalyl-CoA
297,cpd:C00314,Pyridoxine; Pyridoxol
298,cpd:C00315,"Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine"
299,cpd:C00317,Amylopectin
300,cpd:C00318,"L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine"
301,cpd:C00319,Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine
302,cpd:C00320,Thiosulfate; Hyposulfite
303,cpd:C00322,2-Oxoadipate; 2-Oxoadipic acid
304,cpd:C00323,"Caffeoyl-CoA; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA"
305,cpd:C00324,Ferricyanide; Hexacyanoferrate(III)
