entry,product,reacts,PubChem,SMILES,Mol,Fingerprint,dist,enzyme_class_1,enzyme_class_2,enzyme_class_3,enzyme_class_4,enzyme_class_5,enzyme_class_6,enzyme_class_7,n_C,n_H,n_O,n_N,n_P,n_S,n_X,DoU,MW
6.3.5.11,C00025,1.0,3327,C(CC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b1c0>,0.5877562077354221,0,0,0,0,0,1,0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,2.0,147.13
4.2.1.93,C04899,1.0,7449,C1CC(=CN([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b260>,0.9688917692806222,0,0,0,1,0,0,0,21.0,32.0,18.0,7.0,3.0,0.0,0.0,11.0,763.4400000000003
5.1.99.6,C04899,1.0,7449,C1CC(=CN([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b5d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b300>,0.9792611795204147,0,0,0,0,1,0,0,21.0,32.0,18.0,7.0,3.0,0.0,0.0,11.0,763.4400000000003
4.2.1.136,C04899,1.0,7449,C1CC(=CN([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b670>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b3a0>,0.9688917692806222,0,0,0,1,0,0,0,21.0,32.0,18.0,7.0,3.0,0.0,0.0,11.0,763.4400000000003
4.2.1.93,C04856,1.0,7411,C1CC(=CN([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b710>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b440>,0.9688917692806222,0,0,0,1,0,0,0,21.0,31.0,15.0,7.0,2.0,0.0,0.0,11.0,683.4610000000001
5.1.99.6,C04856,1.0,7411,C1CC(=CN([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b4e0>,0.9792611795204147,0,0,0,0,1,0,0,21.0,31.0,15.0,7.0,2.0,0.0,0.0,11.0,683.4610000000001
4.2.1.136,C04856,1.0,7411,C1CC(=CN([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9b850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b580>,0.9688917692806222,0,0,0,1,0,0,0,21.0,31.0,15.0,7.0,2.0,0.0,0.0,11.0,683.4610000000001
1.5.3.5,C21075,1.0,295369337,CN1CCC=C1C2=CNC(=O)C=C2,<rdkit.Chem.rdchem.Mol object at 0x10ef9b8f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b620>,0.47666099428368747,1,0,0,0,0,0,0,10.0,12.0,1.0,2.0,0.0,0.0,0.0,6.0,176.219
1.5.3.6,C21075,1.0,295369337,CN1CCC=C1C2=CNC(=O)C=C2,<rdkit.Chem.rdchem.Mol object at 0x10ef9b990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b6c0>,0.47666099428368747,1,0,0,0,0,0,0,10.0,12.0,1.0,2.0,0.0,0.0,0.0,6.0,176.219
1.5.3.5,C01056,1.0,4296,CN1CCC[C@H]1C2=CNC(=O)C=C2,<rdkit.Chem.rdchem.Mol object at 0x10ef9ba30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b760>,0.47666099428368747,1,0,0,0,0,0,0,10.0,14.0,1.0,2.0,0.0,0.0,0.0,5.0,178.23499999999999
1.5.3.5,C01297,1.0,4515,CNCCCC(=O)C1=CNC(=O)C=C1,<rdkit.Chem.rdchem.Mol object at 0x10ef9bad0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b800>,0.47666099428368747,1,0,0,0,0,0,0,10.0,14.0,2.0,2.0,0.0,0.0,0.0,5.0,194.23399999999998
1.5.3.6,C01297,1.0,4515,CNCCCC(=O)C1=CNC(=O)C=C1,<rdkit.Chem.rdchem.Mol object at 0x10ef9bb70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b8a0>,0.47666099428368747,1,0,0,0,0,0,0,10.0,14.0,2.0,2.0,0.0,0.0,0.0,5.0,194.23399999999998
3.1.1.82,C18021,1.0,96024241,CCC1=C(C2=NC1=CC3=C(C4=C([C@@H](C(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef9bc10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b940>,0.3121207195491981,0,0,1,0,0,0,0,35.0,36.0,5.0,4.0,0.0,0.0,0.0,20.0,592.6960000000003
1.14.15.17,C18021,1.0,96024241,CCC1=C(C2=NC1=CC3=C(C4=C([C@@H](C(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef9bcb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9b9e0>,0.7601516011339515,1,0,0,0,0,0,0,35.0,36.0,5.0,4.0,0.0,0.0,0.0,20.0,592.6960000000003
4.99.1.10,C18021,1.0,96024241,CCC1=C(C2=NC1=CC3=C(C4=C([C@@H](C(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef9bd50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9ba80>,0.37116474808610594,0,0,0,1,0,0,0,35.0,36.0,5.0,4.0,0.0,0.0,0.0,20.0,592.6960000000003
3.1.1.82,C00132,1.0,3432,CO,<rdkit.Chem.rdchem.Mol object at 0x10ef9bdf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9bb20>,0.3121207195491981,0,0,1,0,0,0,0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,32.042
3.1.1.59,C00132,1.0,3432,CO,<rdkit.Chem.rdchem.Mol object at 0x10ef9be90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9bbc0>,0.5541026313049013,0,0,1,0,0,0,0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,32.042
3.1.1.82,C18064,1.0,96024283,CCC1=C(C2=NC1=CC3=C(C4=C(CC(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)O)C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef9bf30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9bc60>,0.3121207195491981,0,0,1,0,0,0,0,33.0,34.0,3.0,4.0,0.0,0.0,0.0,19.0,534.6600000000002
1.14.19.52,C21722,1.0,350078299,C1[C@H](N=C(S1)C2=CNC3=CC=CC=C32)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9be40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9bf80>,0.2003205128205128,1,0,0,0,0,0,0,12.0,10.0,2.0,2.0,0.0,1.0,0.0,9.0,246.291
1.14.19.52,C01326,1.0,4537,C#N,<rdkit.Chem.rdchem.Mol object at 0x10ef9bee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a0d0>,0.2003205128205128,1,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,27.025999999999996
4.1.2.47,C01326,1.0,4537,C#N,<rdkit.Chem.rdchem.Mol object at 0x10ef9bd00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a030>,0.047619047619047616,0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,27.025999999999996
1.14.19.52,C21719,1.0,350078296,C1=CC=C2C(=C1)C(=CN2)C(C#N)SC[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef9bda0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a080>,0.2003205128205128,1,0,0,0,0,0,0,13.0,13.0,2.0,3.0,0.0,1.0,0.0,9.0,275.33299999999997
1.14.14.150,C19678,1.0,135626146,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C(=O)O)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9a2b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a170>,0.6844081115496135,1,0,0,0,0,0,0,15.0,22.0,2.0,0.0,0.0,0.0,0.0,5.0,234.33899999999994
1.14.14.95,C19678,1.0,135626146,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C(=O)O)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9a350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a210>,0.727751448130595,1,0,0,0,0,0,0,15.0,22.0,2.0,0.0,0.0,0.0,0.0,5.0,234.33899999999994
2.3.1.251,C19884,1.0,135626350,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O[C@@H]2[C@@H]([C@H]([C@H](CO2)N)O)O)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9a3f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a120>,0.930635838150289,0,1,0,0,0,0,0,73.0,139.0,26.0,3.0,2.0,0.0,0.0,7.0,1536.8580000000009
2.4.2.43,C19884,1.0,135626350,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O[C@@H]2[C@@H]([C@H]([C@H](CO2)N)O)O)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9a490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a1c0>,0.6349542164166952,0,1,0,0,0,0,0,73.0,139.0,26.0,3.0,2.0,0.0,0.0,7.0,1536.8580000000009
2.3.1.251,C04919,1.0,7466,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9a530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a260>,0.930635838150289,0,1,0,0,0,0,0,68.0,130.0,23.0,2.0,2.0,0.0,0.0,6.0,1405.727
2.4.2.43,C04919,1.0,7466,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9a5d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a300>,0.6349542164166952,0,1,0,0,0,0,0,68.0,130.0,23.0,2.0,2.0,0.0,0.0,6.0,1405.727
2.1.1.254,C06653,1.0,8878,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C,<rdkit.Chem.rdchem.Mol object at 0x10ef9a670>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a3a0>,0.9730421425283963,0,1,0,0,0,0,0,37.0,67.0,12.0,1.0,0.0,0.0,0.0,5.0,717.9380000000002
2.1.1.254,C06633,1.0,8859,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C,<rdkit.Chem.rdchem.Mol object at 0x10ef9a710>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a440>,0.9730421425283963,0,1,0,0,0,0,0,36.0,65.0,12.0,1.0,0.0,0.0,0.0,5.0,703.9110000000003
2.1.1.254,C01912,1.0,5020,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9a7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a4e0>,0.9730421425283963,0,1,0,0,0,0,0,37.0,67.0,13.0,1.0,0.0,0.0,0.0,5.0,733.9370000000002
2.1.1.254,C06616,1.0,8842,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9a850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a580>,0.9730421425283963,0,1,0,0,0,0,0,36.0,65.0,13.0,1.0,0.0,0.0,0.0,5.0,719.9100000000003
4.1.1.93,C00288,1.0,3583,C(=O)(O)[O-],<rdkit.Chem.rdchem.Mol object at 0x10ef9a8f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a620>,0.18456140350877193,0,0,0,1,0,0,0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.5,61.016000000000005
6.3.4.16,C00288,1.0,3583,C(=O)(O)[O-],<rdkit.Chem.rdchem.Mol object at 0x10ef9a990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a6c0>,0.29074666098323393,0,0,0,0,0,1,0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.5,61.016000000000005
4.2.1.104,C00288,1.0,3583,C(=O)(O)[O-],<rdkit.Chem.rdchem.Mol object at 0x10ef9aa30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a760>,0.2702614379084967,0,0,0,1,0,0,0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.5,61.016000000000005
2.7.2.2,C00288,1.0,3583,C(=O)(O)[O-],<rdkit.Chem.rdchem.Mol object at 0x10ef9aad0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a800>,0.2374457029188487,0,1,0,0,0,0,0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.5,61.016000000000005
4.1.1.93,C19907,1.0,135626373,C1=CNC=C1,<rdkit.Chem.rdchem.Mol object at 0x10ef9ab70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a8a0>,0.18456140350877193,0,0,0,1,0,0,0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,67.091
4.1.1.93,C05942,1.0,8227,C1=CNC(=C1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef9ac10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a940>,0.18456140350877193,0,0,0,1,0,0,0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,111.09999999999997
1.14.15.24,C08591,1.0,10784,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C[C@H](CC2(C)C)O)C)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9acb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9a9e0>,0.8463444857496901,1,0,0,0,0,0,0,40.0,56.0,1.0,0.0,0.0,0.0,0.0,13.0,552.8870000000003
1.14.15.24,C06098,1.0,8363,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9ad50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9aa80>,0.8463444857496901,1,0,0,0,0,0,0,40.0,56.0,2.0,0.0,0.0,0.0,0.0,13.0,568.8860000000002
1.23.5.1,C06098,1.0,8363,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9adf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9ab20>,0.4117156639152503,1,0,0,0,0,0,0,40.0,56.0,2.0,0.0,0.0,0.0,0.0,13.0,568.8860000000002
1.14.15.21,C06098,1.0,8363,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9ae90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9abc0>,0.43127147766323026,1,0,0,0,0,0,0,40.0,56.0,2.0,0.0,0.0,0.0,0.0,13.0,568.8860000000002
1.14.99.64,C06098,1.0,8363,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x10ef9af30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef9ac60>,0.8154761904761904,1,0,0,0,0,0,0,40.0,56.0,2.0,0.0,0.0,0.0,0.0,13.0,568.8860000000002
